"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Aaron Chong",7,368,7,12,"N",0,"Lose","N","Victor Chua",432,-64,2,0,0,1,1,1,"N",7,37,5,2,146
"Vannitha Balasingam",7,390,9,13,"N",0,"Lose","N","Yong Jian Rong",469,-79,1,0,1,0,0,2,"N",5,22,4,1,78
"Yeo Kian Hung",7,448,10,14,"N",1,"Win","N","Shim Yen Nee",418,30,2,1,1,1,1,3,"N",14,54,9,2,151
"William Kang",7,426,1,15,"N",1,"Win","N","Hubert Wee",382,44,1,1,0,0,1,2,"N",9,59,5,3,204
"Martin Teo",7,398,8,16,"N",1,"Win","N","Michael Tang",379,19,2,1,0,1,0,1,"N",1,20,5,2,152
"Vinnith Ramamurti",7,344,2,17,"N",0,"Lose","N","Marlon Prudencio",397,-53,1,0,0,0,1,1,"N",3,35,3,1,81
"Jocelyn Lor",7,301,6,18,"N",0,"Lose","N","Ricky Purnomo",420,-119,0,1,1,1,1,2,"N",8,30,6,0,0
"Tan Jin Chor",7,417,3,19,"N",0,"Lose","N","Wong Zhi Yuan",428,-11,1,0,0,1,1,3,"N",2,40,6,2,163
"Alex Tan",7,530,4,20,"N",1,"Win","N","Victor Gwee",404,126,1,0,0,0,1,1,"N",6,14,3,3,265
"Hubert Wee",8,401,13,1,"N",1,"Win","N","Vannitha Balasingam",343,58,1,1,0,1,0,2,"",NA,NA,5,1,80
"Marlon Prudencio",8,356,15,2,"N",0,"Lose","N","William Kang",435,-79,0,1,1,0,0,0,"N",3,51,2,1,68
"Wong Zhi Yuan",8,358,11,3,"N",0,"Lose","N","Nigel Richards",486,-128,0,1,1,1,1,3,"N",4,29,7,1,66
"Victor Gwee",8,435,17,4,"N",1,"Win","N","Vinnith Ramamurti",430,5,0,0,1,1,1,2,"N",4,42,5,2,154
"Tony Sim",8,456,12,5,"N",0,"Lose","N","Aaron Chong",479,-23,0,0,0,0,0,3,"N",0,7,3,3,261
"Ricky Purnomo",8,402,20,6,"N",0,"Lose","N","Alex Tan",416,-14,0,0,0,1,0,0,"N",0,3,1,0,0
"Victor Chua",8,410,14,7,"N",0,"Lose","N","Yeo Kian Hung",503,-93,1,0,1,1,1,0,"N",6,4,4,2,132
"Michael Tang",8,493,19,8,"N",1,"Win","N","Tan Jin Chor",317,176,2,0,0,1,1,3,"N",10,18,7,2,148
"Yong Jian Rong",8,315,18,9,"N",0,"Lose","N","Jocelyn Lor",347,-32,1,0,1,1,0,0,"N",10,56,3,0,0
"Shim Yen Nee",8,305,16,10,"N",0,"Lose","N","Martin Teo",430,-125,0,1,0,1,1,1,"N",0,46,4,1,65
"Nigel Richards",8,486,3,11,"N",1,"Win","Y","Wong Zhi Yuan",358,128,2,0,0,0,0,1,"N",5,26,3,3,206
"Aaron Chong",8,479,5,12,"N",1,"Win","Y","Tony Sim",456,23,2,1,1,1,1,1,"N",9,14,7,2,167
"Vannitha Balasingam",8,343,1,13,"N",0,"Lose","Y","Hubert Wee",401,-58,1,0,1,0,1,2,"",NA,NA,5,1,64
"Yeo Kian Hung",8,503,7,14,"N",1,"Win","Y","Victor Chua",410,93,1,1,0,0,0,4,"N",16,29,6,4,328
